time	Pump C:Pump speed [µL/min]
00:06:09.779	10.811
00:06:10.199	11.505
00:06:10.619	11.727
00:06:11.039	10.790
00:06:11.469	12.221
00:06:11.889	11.154
00:06:12.309	10.763
00:06:12.729	11.951
00:06:13.149	10.381
00:06:13.569	11.551
00:06:13.989	11.174
00:06:14.409	10.156
00:06:14.829	11.525
00:06:15.248	10.093
00:06:15.669	11.164
00:06:16.089	10.283
00:06:16.509	10.331
00:06:16.929	11.014
00:06:17.348	9.636
00:06:17.769	10.743
00:06:18.188	9.304
00:06:18.608	10.269
00:06:19.028	9.601
00:06:19.448	9.410
00:06:19.868	9.507
00:06:20.288	8.903
00:06:20.708	9.449
00:06:21.128	8.918
00:06:21.548	9.856
00:06:21.968	8.749
00:06:22.388	9.759
00:06:22.808	8.611
00:06:23.228	9.750
00:06:23.648	8.418
00:06:24.068	9.722
00:06:24.488	8.607
00:06:24.908	9.473
00:06:25.328	8.076
00:06:25.748	9.232
00:06:26.168	8.341
00:06:26.588	8.512
00:06:27.008	7.600
00:06:27.428	8.106
00:06:27.848	8.214
00:06:28.268	7.972
00:06:28.688	8.442
00:06:29.108	7.665
00:06:29.528	8.649
00:06:29.948	7.534
00:06:30.368	8.473
00:06:30.788	7.131
00:06:31.208	7.554
00:06:31.638	7.494
00:06:32.058	7.048
00:06:32.478	7.936
00:06:32.898	6.773
00:06:33.318	7.173
00:06:33.738	7.169
00:06:34.158	6.683
00:06:34.578	7.590
00:06:34.998	6.455
00:06:35.418	6.593
00:06:35.838	6.776
00:06:36.258	6.248
00:06:36.678	6.835
00:06:37.098	6.369
00:06:37.525	6.091
00:06:37.958	7.009
00:06:38.378	6.011
00:06:38.798	5.827
00:06:39.218	6.603
00:06:39.638	5.752
00:06:40.058	5.692
00:06:40.478	6.530
00:06:40.898	5.676
00:06:41.318	5.589
00:06:41.738	6.215
00:06:42.158	5.392
00:06:42.578	5.227
00:06:42.998	5.971
00:06:43.418	5.305
00:06:43.838	5.108
00:06:44.258	5.580
00:06:44.678	5.467
00:06:45.098	4.882
00:06:45.518	4.915
00:06:45.947	5.613
00:06:46.367	4.763
00:06:46.788	4.585
00:06:47.208	4.852
00:06:47.628	4.874
00:06:48.048	4.352
00:06:48.468	4.307
00:06:48.888	4.716
00:06:49.308	4.638
00:06:49.727	4.073
00:06:50.147	3.905
00:06:50.568	4.290
00:06:50.998	4.451
00:06:51.418	3.895
00:06:51.837	3.748
00:06:52.257	3.875
00:06:52.677	4.488
00:06:53.107	3.892
00:06:53.527	3.687
00:06:53.947	0.000
00:07:17.277	0.000
