time	Pump D:Actual flow [µL/min]
00:06:27.078	0.045
00:06:27.498	0.070
00:06:28.758	0.064
00:06:29.178	0.051
00:06:29.604	0.038
00:06:30.018	0.051
00:06:30.858	0.070
00:06:31.278	0.038
00:06:31.708	0.058
00:06:32.128	0.051
00:06:32.968	0.064
00:06:33.388	0.038
00:06:34.228	0.051
00:06:34.648	0.038
00:06:35.068	0.032
00:06:35.490	0.045
00:06:35.908	0.070
00:06:36.328	0.038
00:06:36.748	0.058
00:06:37.168	0.032
00:06:37.603	0.051
00:06:38.028	0.032
00:06:38.448	0.025
00:06:39.501	0.025
00:06:39.708	0.045
00:06:40.128	0.019
00:06:40.548	0.032
00:06:41.388	0.038
00:06:42.228	0.013
00:06:42.648	0.045
00:06:43.068	0.038
00:06:43.488	0.019
00:06:43.908	0.038
00:06:44.747	0.019
00:06:45.168	0.032
00:06:45.588	0.000
00:06:46.017	0.013
00:06:46.437	0.032
00:06:46.858	0.045
00:06:47.278	0.025
00:06:47.697	0.051
00:06:48.118	0.032
00:06:48.538	0.013
00:06:48.958	0.025
00:06:49.377	0.032
00:06:49.797	0.045
00:06:50.218	0.019
00:06:50.637	0.025
00:06:51.068	0.032
00:06:51.487	0.025
00:06:51.907	0.019
00:06:52.327	0.000
00:06:52.752	-0.026
00:06:53.177	0.019
00:06:53.597	0.025
00:06:54.017	-0.026
00:06:54.437	-0.007
00:06:55.287	0.000
00:06:55.707	-0.013
00:06:56.127	0.006
00:06:56.547	-0.013
00:06:56.967	-0.007
00:06:57.387	0.006
00:06:57.808	0.013
00:06:58.647	0.000
00:06:59.487	0.006
00:07:00.747	0.000
00:07:01.177	-0.013
00:07:01.597	0.000
00:07:02.017	0.013
00:07:02.437	-0.007
00:07:02.857	0.000
00:07:03.277	0.013
00:07:03.697	0.000
00:07:04.537	-0.013
00:07:04.957	0.013
00:07:05.377	0.000
00:07:05.797	0.006
00:07:06.217	0.000
00:07:06.637	-0.020
00:07:07.057	0.019
